time_s,bandwidth_Mbps
974.426,1.563429
975.427,1.639429
976.435,1.349307
977.436,1.245833
978.455,0.773830
979.465,1.223153
980.485,1.394824
981.505,0.687145
982.515,0.665224
983.535,0.643765
984.555,0.563453
985.565,0.499386
986.595,0.626889
987.625,0.307897
988.635,0.327992
989.636,0.249467
990.645,0.257506
991.665,0.242031
992.705,0.073855
994.335,0.004513
1028.283,1.377566
1029.284,1.130645
1030.285,2.366857
1031.293,2.103688
1032.294,1.786629
1033.295,2.616571
1034.303,2.322350
1035.304,2.398881
1036.305,2.322350
1037.306,2.660000
1038.314,2.409814
1039.315,2.401554
1040.324,2.385978
1041.335,2.532096
1042.413,2.578883
1043.423,2.434093
1044.432,2.158354
1045.433,2.372015
1046.533,2.623936
1047.534,2.431680
1048.535,2.330248
1049.542,2.213050
1050.632,0.635751
1052.801,2.251722
1053.882,1.668689
1054.892,2.691739
1055.902,3.580261
1056.912,3.601933
1057.922,2.325629
1058.931,1.624961
1060.072,2.328743
1061.073,2.206319
1062.082,2.180220
1063.083,1.715429
1064.091,1.567968
1065.092,1.529340
1066.101,1.509159
1067.112,1.863731
1068.122,1.664703
1069.124,1.717132
1070.131,1.640681
1071.141,2.249964
1072.143,2.425651
1073.151,2.584743
1074.152,2.107420
1075.172,2.190969
1076.181,2.147421
1077.182,2.562877
1078.183,2.277740
1079.192,2.011076
1080.201,1.857394
1081.211,2.297156
1082.221,1.753830
1083.222,2.318828
1084.232,1.848389
1085.241,1.987422
1086.251,1.831224
1087.261,1.619010
1088.271,2.219413
1089.272,1.895960
1090.273,2.284508
1091.281,2.208480
1092.282,2.162934
1093.291,1.885027
1094.292,2.755133
1095.293,2.653651
1096.301,2.541011
1097.302,2.778424
1098.312,2.520864
1099.321,2.362170
1100.331,2.203984
1101.351,2.223952
1102.352,2.640174
1103.361,2.851674
1104.441,2.925714
1105.561,2.622226
1106.571,1.770709
1107.581,2.680463
1108.583,2.529714
1109.591,2.005299
1110.592,2.119548
1111.601,2.942595
1112.603,2.761221
1113.651,2.610395
1114.653,2.358821
1115.671,2.409814
1116.672,2.194926
1117.771,3.148723
1118.772,2.442613
1119.773,2.650997
1120.782,2.705031
1121.783,2.284508
1122.791,3.233521
1123.801,2.547405
1124.802,2.705007
1125.803,2.713230
1126.805,2.476450
1127.810,2.208480
1128.811,1.987422
1129.821,1.954915
1130.831,1.772090
1131.850,1.303486
1132.861,1.621731
1133.880,1.289442
1134.890,0.708816
1135.900,1.744539
1136.910,0.927365
1137.918,2.127697
1138.921,1.846558
1139.931,2.245223
1141.020,2.678601
1142.021,1.772464
1143.030,1.946561
1144.042,0.981651
1145.050,1.040222
1146.060,1.600767
1147.061,2.578883
1148.071,2.025134
1149.073,2.069418
1150.080,2.634869
1151.081,2.344216
1152.082,2.740508
1153.090,2.125554
1154.091,2.418743
1155.100,2.451098
1156.102,2.555937
1157.110,2.003289
1158.112,2.744200
1159.113,2.580211
1160.120,2.518368
1161.130,2.234885
1162.131,1.475108
1163.140,1.343620
1164.150,1.097846
1165.151,1.540186
1166.160,1.482550
1167.167,1.047482
1168.170,0.276256
1169.200,0.223130
1170.230,0.437343
1171.281,0.282286
1172.289,0.145219
1173.300,0.276256
1174.330,0.202076
1175.359,0.497947
1176.370,0.697412
1177.390,1.213592
1178.400,0.508737
1179.420,0.526154
1180.460,0.669390
1181.490,0.769331
1182.500,1.182372
1183.522,2.149714
1184.530,2.134355
1185.532,2.046453
1186.561,1.673169
1187.601,2.398881
1188.602,1.704571
1189.610,1.108779
1190.611,0.112692
1194.010,2.145915
1195.180,0.336238
1196.189,0.008686
1197.449,1.257303
1198.450,1.913467
1199.459,2.230346
1200.460,2.530762
1201.491,2.542557
1202.500,2.407409
1203.502,2.459326
1204.570,2.343467
1205.590,1.895960
1206.591,1.780571
1207.599,1.863161
1208.600,2.083470
1209.679,2.264650
1210.689,1.727366
1211.699,2.035086
1212.710,2.464480
1213.711,2.647697
1214.713,2.830173
1215.720,3.710849
1216.721,3.131397
1217.722,3.371924
1218.723,3.080135
1219.730,3.295393
1220.731,2.640174
1221.740,1.933189
1222.759,1.915912
1223.761,2.479937
1224.769,3.076731
1225.770,3.150116
1226.772,2.776354
1227.789,3.032999
1228.790,3.371924
1229.791,3.251112
1230.809,3.262593
1231.810,3.323497
1232.819,2.426832
1233.822,2.601946
1234.829,2.628476
1235.830,2.482503
1236.859,3.023941
1237.939,4.476164
1238.940,4.869754
1239.941,4.371373
1240.942,4.764663
1241.949,3.765514
1242.950,3.175121
1243.951,2.737792
1244.960,2.303937
1245.969,2.130031
1247.009,2.973794
1248.010,1.913467
1249.019,2.683141
1250.020,2.669541
1251.022,2.665006
1252.024,2.846695
1253.029,2.617542
1254.030,2.387948
1255.031,2.827365
1256.039,3.128271
1257.041,3.011133
1258.042,2.714991
1259.128,3.098994
1260.138,2.672208
1261.139,2.245818
1262.140,3.001079
1263.148,1.932556
1264.198,2.410286
1265.206,1.742897
1266.207,1.874566
1267.217,1.837623
1268.220,2.449795
1269.227,2.624623
